"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"28";"Turkey";"Turkey";"Turkey";"Turkey";"Australia";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"29";"Spain";"Spain";"Lithuania";"Ukraine";"Lithuania";"Spain";"Spain";"Sweden";"Spain";"Spain"
"30";"Spain";"Portugal";"Finland";"Spain";"Spain";"Finland";"Spain";"Lithuania";"Spain";"Spain"
"31";"United Kingdom";"Norway";"United Kingdom";"United Kingdom";"United Kingdom";"United Kingdom";"Czech Republic";"France";"United Kingdom";"Sweden"
"32";"France";"Czech Republic";"Czech Republic";"France";"France";"France";"France";"France";"France";"France"
"33";"Spain";"Belgium";"Finland";"Spain";"Belgium";"Spain";"Spain";"Finland";"Spain";"Poland"
"34";"Turkey";"Greece";"Italy";"Italy";"Italy";"Italy";"Italy";"Italy";"Czech Republic";"Italy"
"35";"France";"France";"France";"France";"France";"United Kingdom";"Netherlands";"Lithuania";"Netherlands";"Netherlands"
"36";"Turkey";"Turkey";"Germany";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"37";"Russia";"Spain";"Russia";"Slovakia";"Spain";"Portugal";"Spain";"Spain";"Spain";"Poland"
"38";"Russia";"Israel";"Italy";"Italy";"Italy";"Czech Republic";"Portugal";"Italy";"Italy";"Italy"
"39";"France";"France";"France";"France";"France";"France";"France";"France";"France";"France"
"40";"Poland";"Spain";"Poland";"Spain";"Spain";"Russia";"France";"Spain";"Spain";"Spain"
"41";"Bulgaria";"Portugal";"Portugal";"Portugal";"Slovakia";"Poland";"Portugal";"Portugal";"Portugal";"Netherlands"
"42";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"43";"France";"France";"Belgium";"United Kingdom";"United Kingdom";"France";"France";"France";"France";"France"
"44";"Italy";"Italy";"Italy";"Italy";"Italy";"Estonia";"Italy";"Italy";"Italy";"Lithuania"
"45";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal"
"46";"France";"France";"France";"France";"France";"France";"Netherlands";"Belgium";"Ireland";"Denmark"
"47";"United Kingdom";"Portugal";"Portugal";"Portugal";"Netherlands";"Spain";"Portugal";"Spain";"Portugal";"Portugal"
"48";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal"
"49";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"50";"China";"Taiwan";"Taiwan";"Taiwan";"China";"China";"China";"China";"China";"China"
"51";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Belarus";"Russia";"Turkey"
"52";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"53";"Spain";"Spain";"Spain";"Sweden";"Spain";"Poland";"Poland";"Spain";"Spain";"Spain"
"54";"Spain";"Lithuania";"Spain";"Finland";"Spain";"Finland";"Spain";"Belgium";"Belgium";"Spain"
"55";"France";"France";"France";"France";"France";"France";"Belgium";"Ireland";"Denmark";"Netherlands"
"56";"Poland";"Spain";"Spain";"Finland";"Spain";"Portugal";"Spain";"Spain";"Finland";"Spain"
"57";"France";"France";"France";"France";"France";"France";"France";"France";"France";"France"
"58";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"59";"Spain";"Spain";"Spain";"Portugal";"Poland";"Portugal";"Russia";"Spain";"Spain";"Spain"
"60";"France";"France";"France";"France";"France";"Belgium";"United Kingdom";"France";"United Kingdom";"France"
"61";"Spain";"Ukraine";"Spain";"Lithuania";"Lithuania";"Spain";"Slovakia";"Spain";"Russia";"Russia"
"62";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"63";"France";"France";"France";"France";"France";"France";"France";"France";"France";"France"
"64";"France";"France";"Czech Republic";"France";"Czech Republic";"United Kingdom";"Netherlands";"Netherlands";"Lithuania";"Netherlands"
"65";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"66";"China";"China";"China";"China";"China";"Hong Kong";"China";"Hong Kong";"China";"China"
"67";"China";"China";"China";"China";"China";"China";"China";"South Korea";"China";"Thailand"
"68";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea"
"69";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea"
"70";"China";"China";"China";"China";"China";"China";"China";"China";"China";"Taiwan"
"71";"China";"China";"China";"China";"China";"China";"Macao";"Hong Kong";"China";"China"
"72";"Russia";"Sweden";"Russia";"Finland";"United Kingdom";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"73";"Italy";"Italy";"Czech Republic";"Italy";"Italy";"Italy";"Czech Republic";"Italy";"Portugal";"Italy"
"74";"Italy";"Italy";"Italy";"Italy";"Italy";"Italy";"Italy";"Russia";"Italy";"Israel"
"75";"Sweden";"Ukraine";"International";"Turkey";"International";"Brazil";"Brazil";"Chile";"Colombia";"Chile"
"76";"Japan";"Japan";"Japan";"Japan";"Japan";"Chile";"Chile";"Chile";"Chile";"Argentina"
"77";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"78";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea"
"79";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore"
"80";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"81";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"82";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"83";"Hong Kong";"Malaysia";"Hong Kong";"China";"Hong Kong";"China";"Taiwan";"Taiwan";"Taiwan";"Taiwan"
"84";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"85";"Vietnam";"Singapore";"Thailand";"Singapore";"Singapore";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Malaysia"
"86";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Germany";"Turkey"
"87";"China";"Taiwan";"China";"China";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan"
"88";"Czech Republic";"Lithuania";"Lithuania";"Poland";"Finland";"South Korea";"Canada";"Indonesia";"South Korea";"India"
"89";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Indonesia";"Philippines";"Indonesia";"Philippines";"Indonesia"
"90";"United States";"United States";"United States";"United States";"United States";"China";"China";"China";"China";"China"
"91";"China";"Hong Kong";"Hong Kong";"China";"China";"South Korea";"Thailand";"China";"China";"China"
"92";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"93";"China";"China";"Taiwan";"China";"China";"Macao";"China";"Hong Kong";"China";"China"
"94";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea"
"95";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Singapore";"Malaysia";"Singapore";"Singapore";"Singapore"
"96";"Taiwan";"China";"Taiwan";"Taiwan";"International";"Taiwan";"Hong Kong";"Hong Kong";"China";"Hong Kong"
"97";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"98";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"99";"Belarus";"Turkey";"Turkey";"Russia";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"100";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"101";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"102";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"103";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia";"New Zealand";"Australia";"Australia"
"104";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong"
"105";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"106";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Malaysia";"Singapore";"Singapore";"Singapore";"Singapore"
"107";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Australia"
"108";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"109";"Canada";"Brazil";"Brazil";"United States";"United Kingdom";"Sweden";"Russia";"Finland";"Turkey";"United Kingdom"
"110";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"111";"Australia";"Australia";"Iran, Islamic Republic of";"Australia";"Australia";"New Zealand";"Australia";"New Zealand";"New Zealand";"Iran, Islamic Republic of"
"112";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore"
"113";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"114";"Australia";"New Zealand";"Australia";"Australia";"Australia";"New Zealand";"Australia";"Australia";"Australia";"Australia"
"115";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"116";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"117";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea"
"118";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"119";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"120";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"121";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"122";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Japan";"Thailand"
"123";"China";"China";"China";"Hong Kong";"Hong Kong";"China";"Macao";"China";"Hong Kong";"China"
"124";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"China";"Taiwan";"Taiwan";"Taiwan";"Taiwan"
"125";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"126";"Turkey";"Turkey";"Turkey";"Belarus";"Russia";"Germany";"Turkey";"Turkey";"Turkey";"Turkey"
"127";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"128";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"International";"Turkey";"International";"Sweden";"Ukraine"
"129";"Chile";"Chile";"Chile";"Chile";"Argentina";"Poland";"Czech Republic";"Lithuania";"Finland";"Lithuania"
"130";"Australia";"United Kingdom";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia"
"131";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Malaysia"
"132";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"133";"China";"China";"China";"Hong Kong";"Hong Kong";"China";"China";"China";"China";"China"
"134";"Australia";"Australia";"Australia";"Australia";"Australia";"New Zealand";"Australia";"Australia";"New Zealand";"Australia"
"135";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"136";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"137";"Singapore";"Singapore";"Vietnam";"Thailand";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore"
"138";"Taiwan";"China";"Taiwan";"Taiwan";"Taiwan";"China";"Taiwan";"Hong Kong";"Hong Kong";"Hong Kong"
"139";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"140";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"141";"Turkey";"Turkey";"Germany";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"142";"Singapore";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"143";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"144";"Hong Kong";"Macao";"China";"China";"China";"China";"China";"China";"China";"China"
"145";"Germany";"Poland";"Finland";"Germany";"Germany";"United Kingdom";"Austria";"Germany";"Germany";"Germany"
"146";"Hong Kong";"Hong Kong";"Malaysia";"Hong Kong";"China";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan"
"147";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"148";"Poland";"Serbia";"Germany";"Germany";"Germany";"Germany";"United Kingdom";"Germany";"Germany";"Czech Republic"
"149";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"150";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Bulgaria";"Portugal";"Portugal";"Portugal";"Slovakia"
"151";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"United States";"United States";"United States";"United States";"United States"
"152";"Russia";"Sweden";"Finland";"Turkey";"United Kingdom";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"153";"International";"International";"Ukraine";"Turkey";"Sweden";"Chile";"Chile";"Argentina";"Chile";"Chile"
"154";"United States";"United States";"United States";"United States";"United States";"Sweden";"Russia";"Finland";"United Kingdom";"Turkey"
"155";"United States";"United States";"Canada";"United States";"United States";"United States";"United States";"Canada";"United States";"Mexico"
"156";"United States";"United States";"United States";"United States";"United States";"Canada";"United States";"United States";"United States";"United States"
"157";"China";"China";"China";"China";"China";"China";"China";"Taiwan";"China";"China"
"158";"Taiwan";"Taiwan";"China";"China";"Taiwan";"China";"China";"China";"China";"China"
"159";"Russia";"Turkey";"Turkey";"Turkey";"Belarus";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"160";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"161";"Denmark";"Denmark";"Denmark";"Spain";"Denmark";"Sweden";"Sweden";"Sweden";"United Kingdom";"Sweden"
"162";"Turkey";"Turkey";"Turkey";"Turkey";"Germany";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"163";"Italy";"Italy";"Czech Republic";"Italy";"Italy";"Italy";"Czech Republic";"Italy";"Portugal";"Italy"
"164";"Italy";"Italy";"Italy";"Italy";"Italy";"Italy";"Italy";"Russia";"Italy";"Israel"
"165";"Denmark";"Denmark";"Denmark";"Denmark";"Denmark";"Denmark";"Estonia";"Russia";"Ireland";"Denmark"
"166";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"167";"Italy";"Turkey";"Italy";"Greece";"Italy";"Italy";"Italy";"Czech Republic";"Italy";"Russia"
"168";"United States";"Canada";"United States";"Russia";"United States";"United States";"United States";"United States";"United States";"Canada"
"169";"United States";"United States";"United States";"Canada";"United States";"United States";"Canada";"Canada";"United States";"United States"
"170";"China";"China";"China";"China";"China";"Macao";"China";"China";"Hong Kong";"China"
"171";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"172";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"173";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"174";"China";"China";"China";"Hong Kong";"China";"China";"China";"China";"China";"China"
"175";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"176";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"177";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"178";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"179";"Canada";"Philippines";"Cuba";"Mongolia";"Canada";"United States";"United States";"United States";"United States";"United States"
"180";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"181";"United States";"Dominican Republic";"Dominican Republic";"Dominican Republic";"Venezuela";"Mexico";"Colombia";"Colombia";"Mexico";"Mexico"
"182";"Canada";"Canada";"Canada";"Lebanon";"Morocco";"United States";"Canada";"United States";"United States";"United States"
"183";"Colombia";"Colombia";"Mexico";"Dominican Republic";"Colombia";"Costa Rica";"Colombia";"Colombia";"Colombia";"Colombia"
"184";"China";"China";"South Korea";"Thailand";"China";"China";"China";"China";"China";"China"
"185";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"186";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"187";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"188";"China";"Taiwan";"Taiwan";"China";"Taiwan";"China";"China";"China";"China";"China"
"189";"Brazil";"Brazil";"Argentina";"Brazil";"Brazil";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea"
"190";"China";"China";"China";"Macao";"Hong Kong";"China";"China";"China";"China";"China"
"191";"China";"Hong Kong";"China";"China";"China";"China";"China";"China";"China";"China"
"192";"Thailand";"China";"China";"South Korea";"China";"China";"China";"China";"China";"China"
"193";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"194";"Sweden";"International";"International";"Turkey";"Ukraine";"Sweden";"Finland";"Turkey";"United Kingdom";"Russia"
"195";"China";"China";"China";"China";"China";"China";"China";"Hong Kong";"China";"China"
"196";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"197";"Argentina";"Brazil";"Brazil";"Brazil";"Brazil";"Sweden";"United Kingdom";"Russia";"Finland";"Turkey"
"198";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia"
"199";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"200";"China";"China";"China";"China";"Hong Kong";"China";"China";"China";"China";"China"
"201";"Poland";"Portugal";"Portugal";"Netherlands";"Portugal";"Bulgaria";"Portugal";"Slovakia";"Portugal";"Portugal"
"202";"Finland";"Spain";"Poland";"Spain";"Spain";"Spain";"Finland";"Spain";"Belgium";"Belgium"
"203";"Poland";"Poland";"Poland";"Poland";"Poland";"Poland";"Greece";"Greece";"Greece";"Greece"
"204";"Israel";"Poland";"Czech Republic";"United Kingdom";"Germany";"Czech Republic";"Czech Republic";"England";"Czech Republic";"Czech Republic"
"205";"Israel";"Israel";"Israel";"Israel";"Israel";"Czech Republic";"Estonia";"Poland";"Poland";"Serbia"
"206";"Poland";"Poland";"Poland";"Poland";"Poland";"Hungary";"Hungary";"Hungary";"Hungary";"Hungary"
"207";"Turkey";"Germany";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Belarus";"Russia";"Turkey"
"208";"Germany";"Israel";"Czech Republic";"Poland";"Croatia";"Israel";"Israel";"Israel";"Israel";"Israel"
"209";"Brazil";"Brazil";"Brazil";"Chile";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"210";"Czech Republic";"Portugal";"Italy";"Italy";"Italy";"Italy";"Italy";"Italy";"Italy";"Italy"
"211";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"212";"Poland";"Poland";"Poland";"Poland";"Poland";"Czech Republic";"Czech Republic";"Czech Republic";"England";"Czech Republic"
"213";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"214";"Australia";"Australia";"New Zealand";"Australia";"New Zealand";"Australia";"Australia";"Australia";"New Zealand";"Australia"
"215";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia";"Iran, Islamic Republic of";"Australia"
"216";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"217";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"China"
"218";"Taiwan";"Taiwan";"Taiwan";"China";"Taiwan";"Hong Kong";"Hong Kong";"Malaysia";"Hong Kong";"China"
"219";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Germany";"Turkey";"Turkey";"Turkey";"Turkey"
"220";"Spain";"Lithuania";"Lithuania";"Spain";"Ukraine";"Finland";"Spain";"Spain";"Portugal";"Spain"
"221";"Lebanon";"Jordan";"Saudi Arabia";"Saudi Arabia";"Saudi Arabia";"Saudi Arabia";"United Arab Emirates";"Qatar";"Qatar";"Jordan"
"222";"Italy";"Sweden";"Italy";"Poland";"Italy";"Czech Republic";"Italy";"Italy";"Portugal";"Italy"
"223";"Algeria";"Egypt";"Finland";"Egypt";"Belarus";"Russia";"Egypt";"Egypt";"Poland";"Palestine"
"224";"Chile";"Chile";"Chile";"Chile";"Chile";"Argentina";"Argentina";"Chile";"Argentina";"Chile"
"225";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"226";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"227";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"228";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"229";"New Zealand";"New Zealand";"New Zealand";"Australia";"Iran, Islamic Republic of";"Australia";"Australia";"Australia";"Australia";"Australia"
"230";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"231";"China";"China";"China";"China";"China";"Taiwan";"China";"Taiwan";"China";"Taiwan"
"232";"Taiwan";"Hong Kong";"China";"Hong Kong";"Hong Kong";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan"
"233";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"234";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong";"Malaysia";"China";"Hong Kong"
"235";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
